2/,inq21997.tgz,1126764.nc,19970520,-21.7500,110.583,0.700000,759.400,6.07400,26.2220,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126681.nc,19970401,-20.2333,110.067,0.700000,759.400,6.25700,27.6030,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126682.nc,19970401,-21.2500,110.467,0.700000,759.400,6.22900,26.5930,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126683.nc,19970401,-22.3667,110.933,0.700000,759.400,6.05600,25.6090,,
woce-uot,./data/basins/sc/indian/1997/q2/,i
