 to $14,999","2,726","+/-801","1,925","3,527"
"B20005A",82.000,"$15,000 to $17,499","3,367","+/-950","2,417","4,317"
"B20005A",83.000,"$17,500 to $19,999","1,425","+/-571","854","1,996"
"B20005A",84.000,"$20,000 to $22,499","2,465","+/-791","1,674","3,256"
"B20005A",85.000,"$22,500 to $24,999","791","+/-370","421","1,161"
"B20005A",86.000,"$25,000 to $29,999","1,338","+/-506","832","1,844"
"B20005A",87.000,"$30,000 to $34,999","2,305","+/-747","1,558","3,052"
"B20005A",88.000,"$35,000 to $39,999","1,523","+
