,1.000,"Total:","55,795","+/-5,306","50,489","61,101"
"B21001B",2.000,"Male:","24,807","+/-3,219","21,588","28,026"
"B21001B",3.000,"18 to 34 years:","10,713","+/-1,918","8,795","12,631"
"B21001B",4.000,"Veteran","230","+/-277","0","507"
"B21001B",5.000,"Nonveteran","10,483","+/-1,946","8,537","12,429"
"B21001B",6.000,"35 to 54 years:","9,411","+/-1,673","7,738","11,084"
"B21001B",7.000,"Veteran","1,917","+/-837","1,080","2,754"
"B21001B",8.000,"Nonveteran","7,494","+/-1,483","6,011","8,977"
"B21001B",9.000
