2.000,"Agriculture, forestry, fishing and hunting, and mining:","1,848","+/-1,037","811","2,885"
"C24070",3.000,"Construction","21,109","+/-2,700","18,409","23,809"
"C24070",4.000,"Manufacturing","26,704","+/-2,713","23,991","29,417"
"C24070",5.000,"Wholesale trade","11,400","+/-2,120","9,280","13,520"
"C24070",6.000,"Retail trade","42,458","+/-4,035","38,423","46,493"
"C24070",7.000,"Transportation and warehousing, and utilities:","21,409","+/-2,330","19,079","23,739"
"C24070",8.000,"Information","14,402",
