"
"B08105A",.,"MEANS OF TRANSPORTATION TO WORK (WHITE ALONE)",,,,
"B08105A",.,"Universe:  White alone workers 16 years and over",,,,
"B08105A",1.000,"Total:","18,701","+/-2,209","16,492","20,910"
"B08105A",2.000,"Car, truck, or van - drove alone","12,854","+/-2,020","10,834","14,874"
"B08105A",3.000,"Car, truck, or van - carpooled","2,452","+/-755","1,697","3,207"
"B08105A",4.000,"Public transportation (excluding taxicab)","1,361","+/-544","817","1,905"
"B08105A",5.000,"Walked","546","+/-423","123","969"
"B
