," "," "," "," "," "
"        3","      92","Nonfamily households","  623,133","   100%","       626,323","   100%","         3,190","+/-32,538","no"
"        3","      93","     Median nonfamily income (in 2001 inflation-adjusted dollars)","   25,982","(NA)","        26,729","(NA)","           747","+/-1,450","no"
"        3","      94","     Mean nonfamily income (in 2001 inflation-adjusted dollars)","   34,886","(NA)","        36,118","(NA)","         1,232","+/-2,153","no"
"        3","      95"," "
