12",.,"Universe:  Occupied housing units",,,,
"B25012",1.000,"Total:","236,700","+/-3,436","233,264","240,136"
"B25012",2.000,"Owner-occupied housing units:","177,757","+/-3,663","174,094","181,420"
"B25012",3.000,"With related children under 18:","47,765","+/-2,698","45,067","50,463"
"B25012",4.000,"With own children under 18:","41,232","+/-2,612","38,620","43,844"
"B25012",5.000,"Under 6 years only","7,400","+/-1,367","6,033","8,767"
"B25012",6.000,"Under 6 years and 6 to 17 years","6,759","+/-1,557","5,2
