asque","N","N","N","N"
"B04004",21.000,"Belgian","N","N","N","N"
"B04004",22.000,"Brazilian","N","N","N","N"
"B04004",23.000,"British","N","N","N","N"
"B04004",24.000,"Bulgarian","N","N","N","N"
"B04004",25.000,"Cajun","N","N","N","N"
"B04004",26.000,"Canadian","N","N","N","N"
"B04004",27.000,"Carpatho Rusyn","N","N","N","N"
"B04004",28.000,"Celtic","N","N","N","N"
"B04004",29.000,"Croatian","N","N","N","N"
"B04004",30.000,"Cypriot","N","N","N","N"
"B04004",31.000,"Czech","N","N","N","N"
"B04004",32.000,"Cz
