0US3410","1"," 34","           875","             0","         1,873"
"50000US3410","1"," 35","         4,891","           815","         8,967"
"50000US3410","1"," 36","           927","             0","         2,437"
"50000US3410","1"," 37","             N","             N","             N"
"50000US3410","1"," 38","             N","             N","             N"
"50000US3410","1"," 39","             N","             N","             N"
"50000US3410","1"," 40","             N","             N","  
