r in combination with one or more other races",49,"With own children under 18 years","7.1","+/-0.8","6.8","+/-0.8"
"003","White alone or in combination with one or more other races",50,"Nonfamily households","33.4","+/-1.5","33.2","+/-1.6"
"003","White alone or in combination with one or more other races",51,"Male householder","15.2","+/-1.1","15.1","+/-1.2"
"003","White alone or in combination with one or more other races",52,"Living alone","12.6","+/-1.0","12.6","+/-1.1"
"003","White alone or in combinati
