more other races",57,"Average household size","2.65","+/-0.03","2.57","+/-0.03"
"003","White alone or in combination with one or more other races",58,"Average family size","3.23","+/-0.06","3.16","+/-0.06"
"003","White alone or in combination with one or more other races",59,"Population 15 years and over","637,673","+/-5,662","540,526","+/-6,507"
"003","White alone or in combination with one or more other races",60,"Now married, except separated","51.4","+/-1.2","52.3","+/-1.3"
"003","White alone or in comb
