17013",.,"Universe:  Families",,,,
"C17013",1.000,"Total:","157,855","+/-4,148","153,707","162,003"
"C17013",2.000,"Income in the past 12 months below poverty level:","25,279","+/-2,646","22,633","27,925"
"C17013",3.000,"2 persons","10,314","+/-1,641","8,673","11,955"
"C17013",4.000,"3 to 4 persons","12,050","+/-1,901","10,149","13,951"
"C17013",5.000,"5 to 6 persons","2,365","+/-824","1,541","3,189"
"C17013",6.000,"7 or more persons","550","+/-398","152","948"
"C17013",7.000,"Income in the past 12 months a
