8020H",.,"Universe:  White alone, not Hispanic or Latino civilian noninstitutionalized population 16 to 64 years",,,,
"C18020H",1.000,"Total:","2,045,704","+/-6,720","2,038,984","2,052,424"
"C18020H",2.000,"With a disability:","195,529","+/-6,896","188,633","202,425"
"C18020H",3.000,"Employed","81,725","+/-3,992","77,733","85,717"
"C18020H",4.000,"Not employed","113,804","+/-5,786","108,018","119,590"
"C18020H",5.000,"No disability:","1,850,175","+/-9,303","1,840,872","1,859,478"
"C18020H",6.000,"Employed",
