,10.000,"Not living with own grandchildren under 18 years","449,019","+/-8,720","440,299","457,739"
"B10051",.,"GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY PRESENCE OF PARENT OF GRANDCHILDREN AND AGE OF GRANDPARENT",,,,
"B10051",.,"Universe:  Grandparents living with own grandchildren under 18 years",,,,
"B10051",1.000,"Total:","19,861","+/-2,699","17,162","22,560"
"B10051",2.000,"Grandparent responsible for own grandchildren under 18 years:","7,424",
