ian and Pacific Island languages","1,058","+/-720","338","1,778"
"B16009",27.000,"Speak other languages","366","+/-277","89","643"
"B16010",.,"EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER",,,,
"B16010",.,"Universe:  Population 25 years and over",,,,
"B16010",1.000,"Total:","N","N","N","N"
"B16010",2.000,"Less than high school graduate:","N","N","N","N"
"B16010",3.000,"In labor force:","N","N","N","N"
"B16010",4.000,"Speak only English","N","N",
