band present, family:","N","N","N","N"
"B11002I",10.000,"Relatives","N","N","N","N"
"B11002I",11.000,"Nonrelatives","N","N","N","N"
"B11002I",12.000,"In nonfamily households","N","N","N","N"
"B11003",.,"FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS",,,,
"B11003",.,"Universe:  Families",,,,
"B11003",1.000,"Total:","157,855","+/-4,148","153,707","162,003"
"B11003",2.000,"Married-couple family:","120,560","+/-4,055","116,505","124,615"
"B11003",3.000,"With own children under 18 years:","42,456
