9.0,"1 worker in past 12 months","37.1","+/-4.8","60.5","+/-13.9","33.5","+/-5.2",,,,,,
"S2201",20.0,"2 or more workers in past 12 months","48.8","+/-4.3","23.6","+/-11.4","52.7","+/-5.1",,,,,,
"S2201",20.3,,,,,,,,,,,,,
"S2201",20.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S2201",21.0,"Food stamp recipiency","2.0","(X)","(X)","(X)","(X)","(X)",,,,,,
"S2301",0.0,,,,,,,,,,,,,
"S2301",0.5,,"Total","Margin of Error","In labor force","Margin of Error","Employed","Margin of Error","Unemployment rate","Margin of Error",,,,
