21001D",.,"SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (ASIAN ALONE)",,,,
"B21001D",.,"Universe: Asian alone civilian population 18 years and over",,,,
"B21001D",1.000,"Total:","N","N","N","N"
"B21001D",2.000,"Male:","N","N","N","N"
"B21001D",3.000,"18 to 34 years:","N","N","N","N"
"B21001D",4.000,"Veteran","N","N","N","N"
"B21001D",5.000,"Nonveteran","N","N","N","N"
"B21001D",6.000,"35 to 54 years:","N","N","N","N"
"B21001D",7.000,"Veteran","N","N","N","N"
"B21001D",8.000,"No
