ination with one or more other races",122,"Same county","9.4","+/-1.3","9.2","+/-1.3"
"003","White alone or in combination with one or more other races",123,"Different county","6.5","+/-0.8","6.4","+/-0.8"
"003","White alone or in combination with one or more other races",124,"Same state","3.2","+/-0.6","3.2","+/-0.6"
"003","White alone or in combination with one or more other races",125,"Different state","3.3","+/-0.5","3.3","+/-0.6"
"003","White alone or in combination with one or more other races",126,"A
