0US0636","1"," 34","         6,778","           228","        13,328"
"50000US0636","1"," 35","         4,330","           285","         8,375"
"50000US0636","1"," 36","           305","             0","           835"
"50000US0636","1"," 37","             N","             N","             N"
"50000US0636","1"," 38","             N","             N","             N"
"50000US0636","1"," 39","             N","             N","             N"
"50000US0636","1"," 40","             N","             N","  
