 transportation, and material moving occupations","20,147","+/-2,492","17,655","22,639"
"C24010A",9.000,"Female:","138,637","+/-5,078","133,559","143,715"
"C24010A",10.000,"Management, professional, and related occupations","53,431","+/-3,284","50,147","56,715"
"C24010A",11.000,"Service occupations","25,856","+/-2,614","23,242","28,470"
"C24010A",12.000,"Sales and office occupations","51,871","+/-3,922","47,949","55,793"
"C24010A",13.000,"Farming, fishing, and forestry occupations","751","+/-566","185","1,3
