1 ,Ventura ,  ,  ,  ,  ,  ,356000
2007 ,486999 ,APIARY PRODUCTS POLLINATION FEES ,115 ,Yuba ,  ,  ,6200 ,68.06 ,COL ,422000
2007 ,486999 ,APIARY PRODUCTS POLLINATION FEES , 999, State Totals,0 ,  ,1669720 ,117.01 ,    ,199340000
2007 ,211999 ,APPLES ALL ,9 ,Calaveras ,35 ,2.51 ,88 ,347.73 ,TONS ,30600
2007 ,211999 ,APPLES ALL ,13 ,Contra Costa ,270 ,6.33 ,1710 ,515.20 ,TONS ,881000
2007 ,211999 ,APPLES ALL ,17 ,El Dorado ,845 ,6.36 ,5378 ,1515.90 ,TONS ,8152500
2007 ,211999 ,APPLES ALL ,19 ,Fresno ,98
