5.000,"Enrolled in kindergarten","1,888","+/-926","962","2,814"
"B14006",6.000,"Enrolled in grade 1 to grade 4","3,918","+/-1,283","2,635","5,201"
"B14006",7.000,"Enrolled in grade 5 to grade 8","3,827","+/-1,244","2,583","5,071"
"B14006",8.000,"Enrolled in grade 9 to grade 12","5,533","+/-1,371","4,162","6,904"
"B14006",9.000,"Enrolled in college undergraduate years","8,330","+/-2,035","6,295","10,365"
"B14006",10.000,"Enrolled in graduate or professional school","430","+/-312","118","742"
"B14006",11.000,
