601",22.5,"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH",,,,,,,,,,,,
"S0601",23.0,"Population 5 years and over","47,440,765","+/-9,741","31,798,788","+/-64,884","11,378,675","+/-57,889","371,529","+/-11,498",,,,
"S0601",24.0,"Speak language other than English","12.0","+/-0.1","5.1","+/-0.1","5.4","+/-0.1","44.3","+/-1.7",,,,
"S0601",25.0,"Speak English  ""very well""","6.9","+/-0.1","4.1","+/-0.1","4.3","+/-0.1","25.9","+/-1.3",,,,
"S0601",26.0,"Speak English less than ""very well""","5.0","+/-0.1",
