"(X)","(X)",,,,,,
"S2503",0.0,,,,,,,,,,,,,
"S2503",0.5,,"Occupied housing units","Margin of Error","Owner-occupied housing units","Margin of Error","Renter-occupied housing units","Margin of Error",,,,,,
"S2503",1.0,"Occupied housing units","3,030,752","+/-9,891","1,019,340","+/-11,580","2,011,412","+/-13,623",,,,,,
"S2503",1.5,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,,,,,,,,,
"S2503",2.0,"Less than $5,000","4.3","+/-0.2","1.6","+/-0.2","5.7","+/-0.3",,,,,,
"S2503",3.
