o $89,999","486","+/-281","205","767"
"B25121",102.000,"Value $90,000 to $99,999","450","+/-348","102","798"
"B25121",103.000,"Value $100,000 to $199,999","6,659","+/-1,267","5,392","7,926"
"B25121",104.000,"Value $200,000 to $249,999","1,864","+/-596","1,268","2,460"
"B25121",105.000,"Value $250,000 to $499,999","2,534","+/-663","1,871","3,197"
"B25121",106.000,"Value $500,000 or more","546","+/-274","272","820"
"B25122",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GROS
