 years and over",,,,
"C15001",1.000,"Total:","549,407","*****","*****","*****"
"C15001",2.000,"Male:","270,880","+/-533","270,347","271,413"
"C15001",3.000,"18 to 24 years:","31,167","+/-609","30,558","31,776"
"C15001",4.000,"Less than high school graduate","5,183","+/-1,159","4,024","6,342"
"C15001",5.000,"High school graduate (includes equivalency)","10,836","+/-1,460","9,376","12,296"
"C15001",6.000,"Some college or associate's degree","11,722","+/-1,633","10,089","13,355"
"C15001",7.000,"Bachelor's degr
