lthcare practitioner and technical occupations:","100,000+","***","***","***"
"B24022",15.000,"Health diagnosing and treating practitioners and other technical occupations","100,000+","***","***","***"
"B24022",16.000,"Health technologists and technicians","47,042","+/-8,558","38,484","55,600"
"B24022",17.000,"Service occupations:","30,085","+/-2,766","27,319","32,851"
"B24022",18.000,"Healthcare support occupations","25,020","+/-2,022","22,998","27,042"
"B24022",19.000,"Protective service occupations:","45
