panic or Latino",121,"Different house in the U.S.","19.4","+/-1.3","18.8","+/-1.3"
"450","Not Hispanic or Latino",122,"Same county","12.2","+/-1.0","11.6","+/-0.9"
"450","Not Hispanic or Latino",123,"Different county","7.2","+/-0.8","7.2","+/-0.9"
"450","Not Hispanic or Latino",124,"Same state","2.6","+/-0.5","2.8","+/-0.5"
"450","Not Hispanic or Latino",125,"Different state","4.6","+/-0.7","4.4","+/-0.6"
"450","Not Hispanic or Latino",126,"Abroad","0.7","+/-0.2","0.6","+/-0.2"
"450","Not Hispanic or Latino
