LONE, NOT HISPANIC OR LATINO)",,,,
"B24010H",.,"Universe:  Civilian employed White alone, not Hispanic or Latino population 16 years and over",,,,
"B24010H",1.000,"Total:","207,889","+/-6,001","201,888","213,890"
"B24010H",2.000,"Male:","112,442","+/-3,649","108,793","116,091"
"B24010H",3.000,"Management, professional, and related occupations:","22,879","+/-1,772","21,107","24,651"
"B24010H",4.000,"Management, business, and financial occupations:","10,672","+/-1,305","9,367","11,977"
"B24010H",5.000,"Manage
