.000,"Under 5 years","7,932","+/-176","7,756","8,108"
"B17001H",34.000,"5 years","1,355","+/-524","831","1,879"
"B17001H",35.000,"6 to 11 years","9,287","+/-852","8,435","10,139"
"B17001H",36.000,"12 to 14 years","5,070","+/-872","4,198","5,942"
"B17001H",37.000,"15 years","2,044","+/-538","1,506","2,582"
"B17001H",38.000,"16 and 17 years","3,345","+/-572","2,773","3,917"
"B17001H",39.000,"18 to 24 years","9,423","+/-593","8,830","10,016"
"B17001H",40.000,"25 to 34 years","11,456","+/-800","10,656","12,256"
