.,"MEANS OF TRANSPORTATION TO WORK BY AGE",,,,
"C08101",.,"Universe: Workers 16 years and over",,,,
"C08101",1.000,"Total:","48,115","+/-3,381","44,734","51,496"
"C08101",2.000,"16 to 19 years","2,062","+/-721","1,341","2,783"
"C08101",3.000,"20 to 24 years","4,206","+/-1,081","3,125","5,287"
"C08101",4.000,"25 to 44 years","19,300","+/-2,044","17,256","21,344"
"C08101",5.000,"45 to 54 years","13,648","+/-1,568","12,080","15,216"
"C08101",6.000,"55 to 59 years","5,137","+/-932","4,205","6,069"
"C08101",7.00
