 $14,999","510","+/-352","158","862"
"B19131",42.000,"$15,000 to $19,999","672","+/-420","252","1,092"
"B19131",43.000,"$20,000 to $24,999","242","+/-224","18","466"
"B19131",44.000,"$25,000 to $29,999","388","+/-390","0","778"
"B19131",45.000,"$30,000 to $34,999","570","+/-645","0","1,215"
"B19131",46.000,"$35,000 to $39,999","70","+/-116","0","186"
"B19131",47.000,"$40,000 to $44,999","112","+/-155","0","267"
"B19131",48.000,"$45,000 to $49,999","89","+/-122","0","211"
"B19131",49.000,"$50,000 to $59,999"
