",218.000,"Fishing and hunting, and forest and logging workers","52","+/-88","0","140"
"B24010",219.000,"Construction, extraction, maintenance, and repair occupations:","7,281","+/-1,557","5,724","8,838"
"B24010",220.000,"Construction and extraction occupations:","3,596","+/-1,023","2,573","4,619"
"B24010",221.000,"Supervisors, construction and extraction workers","768","+/-498","270","1,266"
"B24010",222.000,"Carpenters","82","+/-95","0","177"
"B24010",223.000,"Construction laborers","607","+/-424","183","
