00,"Under 18 years:","1,592","+/-353","1,239","1,945"
"B05003E",15.000,"Native","1,359","+/-356","1,003","1,715"
"B05003E",16.000,"Foreign born:","233","+/-335","0","568"
"B05003E",17.000,"Naturalized U.S. citizen","233","+/-335","0","568"
"B05003E",18.000,"Not a U.S. citizen","0","+/-292","0","292"
"B05003E",19.000,"18 years and over:","3,730","+/-507","3,223","4,237"
"B05003E",20.000,"Native","1,591","+/-893","698","2,484"
"B05003E",21.000,"Foreign born:","2,139","+/-1,223","916","3,362"
"B05003E",22.000,
