","Irish (050, 081)",117,"Civilian population 65 years and over","141,304","+/-758","15,837","+/-1,788"
"541","Irish (050, 081)",118,"With any disability","38.8","+/-2.0","36.2","+/-4.7"
"541","Irish (050, 081)",119,"Population 1 year and over","955,705","+/-1,515","106,566","+/-6,819"
"541","Irish (050, 081)",120,"Same house","78.2","+/-1.4","76.4","+/-2.8"
"541","Irish (050, 081)",121,"Different house in the U.S.","20.9","+/-1.3","23.1","+/-2.7"
"541","Irish (050, 081)",122,"Same county","15.5","+/-1.3","
