 or more other races",114,"Civilian population 16 to 64 years","512,962","+/-5,700","429,806","+/-6,245"
"003","White alone or in combination with one or more other races",115,"With any disability","11.7","+/-0.7","12.0","+/-0.9"
"003","White alone or in combination with one or more other races",116,"No disability","88.3","+/-0.7","88.0","+/-0.9"
"003","White alone or in combination with one or more other races",117,"Civilian population 65 years and over","100,375","+/-1,701","91,802","+/-1,581"
"003","Whit
