glish (015, 022)",248,"With related children under 5 years only","12.2","+/-6.1","29.9","+/-22.7"
"529","English (015, 022)",249,"Female householder, no husband present, family","35.2","+/-4.7","38.5","+/-15.2"
"529","English (015, 022)",250,"With related children under 18 years","46.1","+/-5.7","57.4","+/-18.9"
"529","English (015, 022)",251,"With related children under 5 years only","58.8","+/-13.7","63.2","+/-37.0"
"529","English (015, 022)",252,"All people","17.9","+/-1.5","16.2","+/-3.9"
"529","English
