4.000,"Same Metropolitan Statistical Area:","22,575","+/-3,407","19,168","25,982"
"C07201",5.000,"Moved from principal city","8,934","+/-2,169","6,765","11,103"
"C07201",6.000,"Moved from remainder of Metropolitan Statistical Area","13,641","+/-2,670","10,971","16,311"
"C07201",7.000,"Different Metropolitan Statistical Area:","5,276","+/-2,063","3,213","7,339"
"C07201",8.000,"Moved from principal city","3,031","+/-1,864","1,167","4,895"
"C07201",9.000,"Moved from remainder of Metropolitan Statistical Area",
