me, year-round:","14,930","+/-2,536","12,394","17,466"
"B17009",7.000,"Nonfamily householder","6,296","+/-1,584","4,712","7,880"
"B17009",8.000,"Other","8,634","+/-1,950","6,684","10,584"
"B17009",9.000,"Did not work:","14,736","+/-2,237","12,499","16,973"
"B17009",10.000,"Nonfamily householder","7,868","+/-1,455","6,413","9,323"
"B17009",11.000,"Other","6,868","+/-1,527","5,341","8,395"
"B17009",12.000,"Income in the past 12 months at or above the poverty level:","132,149","+/-7,335","124,814","139,484"
"B
