",27.000,"Value $90,000 to $99,999","2,408","+/-740","1,668","3,148"
"B25121",28.000,"Value $100,000 to $199,999","19,053","+/-1,927","17,126","20,980"
"B25121",29.000,"Value $200,000 to $249,999","5,882","+/-1,033","4,849","6,915"
"B25121",30.000,"Value $250,000 to $499,999","8,520","+/-1,289","7,231","9,809"
"B25121",31.000,"Value $500,000 or more","3,674","+/-1,085","2,589","4,759"
"B25121",32.000,"$20,000 to $34,999:","110,518","+/-4,629","105,889","115,147"
"B25121",33.000,"Value less than $10,000","3,
