e alone",144,"Europe","11.2","+/-2.1","19.3","+/-3.5"
"002","White alone",145,"Asia","18.5","+/-2.0","2.1","+/-1.1"
"002","White alone",146,"Africa","1.1","+/-0.7","0.7","+/-0.7"
"002","White alone",147,"Oceania","2.3","+/-1.0","1.8","+/-1.4"
"002","White alone",148,"Latin America","63.6","+/-2.7","70.2","+/-4.2"
"002","White alone",149,"Northern America","3.3","+/-0.9","5.8","+/-1.8"
"002","White alone",150,"Population 5 years and over","747,982","+/-7,164","614,632","+/-9,207"
"002","White alone",151,"Eng
