cupants per room","1.1","+/-0.4","1.2","+/-0.4"
"003","White alone or in combination with one or more other races",285,"Owner-occupied housing units","192,474","+/-4,382","189,318","+/-4,304"
"003","White alone or in combination with one or more other races",286,"Less than 30 percent","79.7","+/-1.3","79.9","+/-1.3"
"003","White alone or in combination with one or more other races",287,"30 percent or more","20.3","+/-1.3","20.1","+/-1.3"
"003","White alone or in combination with one or more other races",288
