 of worker:,,,,,,,,,
.Private for-profit wage and salary workers ,"1,309,860","6,270","4,685","10,756","15,351","17,042","30,311","38,929","44,716"
..Employee of private company ,"1,275,947","6,123","4,608","10,555","15,125","16,830","30,014","38,569","44,024"
..Self-employed in own incorporated business ,"33,913",147,77,201,226,212,297,360,692
.Private not-for-profit wage and salary workers ,"172,087",737,295,451,867,976,"1,704","1,855","2,551"
.Local government workers ,"179,236",344,173,413,"1,093",
