enance, and repair occupations:","N","N","N","N"
"B24020",231.000,"Vehicle and mobile equipment mechanics, installers, and repairers","N","N","N","N"
"B24020",232.000,"Electrical equipment mechanics and other installation, maintenance, and repair occupations including supervisors","N","N","N","N"
"B24020",233.000,"Production, transportation, and material moving occupations:","N","N","N","N"
"B24020",234.000,"Production occupations:","N","N","N","N"
"B24020",235.000,"Assemblers and fabricators","N","N","N","
