252","     23.2","               +/-1.9","              13.3","               +/-5.7"
"S0201","         253","     13.3","               +/-0.7","              12.0","               +/-2.8"
"S0201","         254","     13.8","               +/-0.7","              11.0","               +/-2.7"
"S0201","         255","      9.9","               +/-1.2","              22.6","              +/-12.2"
"S0201","         256","     15.6","               +/-1.0","              11.9","               +/-3.2"
"S0201"," 
