5",43.0,"Japanese","2,859","+/-1,064","18.8","+/-6.9"
"DP05",44.0,"Korean","3,386","+/-1,441","22.2","+/-9.1"
"DP05",45.0,"Vietnamese","978","+/-752","6.4","+/-4.9"
"DP05",46.0,"Other Asian","580","+/-385","3.8","+/-2.6"
"DP05",47.0,"Native Hawaiian and Other Pacific Islander","563","+/-437","0.1","+/-0.1"
"DP05",48.0,"Native Hawaiian","N","N","N","N"
"DP05",49.0,"Guamanian or Chamorro","N","N","N","N"
"DP05",50.0,"Samoan","N","N","N","N"
"DP05",51.0,"Other Pacific Islander","N","N","N","N"
"DP05",52.0,"Som
