032-045)",103,"Unmarried women 15 to 50 years who had a birth in the past 12 months","5,050","+/-1,689","490","+/-434"
"535","German (032-045)",104,"As a percent of all women with a birth in the past 12 months","45.1","+/-10.7","21.2","+/-16.7"
"535","German (032-045)",105,"Population 30 years and over","471,068","+/-4,846","92,350","+/-4,420"
"535","German (032-045)",106,"Living with grandchild(ren)","3.0","+/-0.5","2.1","+/-1.0"
"535","German (032-045)",107,"Responsible for grandchild(ren)","42.5","+/-7.9
