nance, and repair occupations:","6,322","+/-1,480","4,842","7,802"
"C24010",31.000,"Construction and extraction occupations","4,146","+/-1,236","2,910","5,382"
"C24010",32.000,"Installation, maintenance, and repair occupations","2,176","+/-772","1,404","2,948"
"C24010",33.000,"Production, transportation, and material moving occupations:","2,988","+/-933","2,055","3,921"
"C24010",34.000,"Production occupations","1,382","+/-582","800","1,964"
"C24010",35.000,"Transportation and material moving occupations:","
