nation with one or more other races",78,"Nursery school, preschool","5.5","+/-1.0","5.8","+/-1.0"
"003","White alone or in combination with one or more other races",79,"Kindergarten","4.7","+/-0.8","4.8","+/-0.9"
"003","White alone or in combination with one or more other races",80,"Elementary school (grades 1-8)","42.8","+/-1.9","43.8","+/-1.9"
"003","White alone or in combination with one or more other races",81,"High school (grades 9-12)","23.1","+/-1.4","22.2","+/-1.2"
"003","White alone or in combinati
