0,"10 to 14 years","16,034","+/-1,737","14,297","17,771"
"B14003",44.000,"15 to 17 years","8,594","+/-1,410","7,184","10,004"
"B14003",45.000,"18 and 19 years","7,842","+/-1,069","6,773","8,911"
"B14003",46.000,"20 to 24 years","12,116","+/-1,742","10,374","13,858"
"B14003",47.000,"25 to 34 years","9,732","+/-1,665","8,067","11,397"
"B14003",48.000,"35 years and over","13,978","+/-1,721","12,257","15,699"
"B14003",49.000,"Not enrolled in school:","1,589,126","+/-9,041","1,580,085","1,598,167"
"B14003",50.00
