2.0,"18 to 24 years","9.2","+/-1.1","9.6","+/-1.9","8.8","+/-1.0",,,,,,
"S0101",23.0,"15 to 44 years","42.2","+/-0.8","44.9","+/-1.6","39.2","+/-0.8",,,,,,
"S0101",24.0,"16 years and over","80.2","+/-0.4","80.1","+/-0.9","80.4","+/-0.9",,,,,,
"S0101",25.0,"18 years and over","77.4","*****","77.3","+/-1.0","77.4","+/-1.2",,,,,,
"S0101",26.0,"60 years and over","17.1","+/-0.9","14.5","+/-1.1","19.9","+/-1.3",,,,,,
"S0101",27.0,"62 years and over","15.0","+/-0.8","12.3","+/-0.9","18.1","+/-1.3",,,,,,
"S0101",2
