0,"Business and financial operations occupations","N","N","N","N"
"C24060",156.000,"Professional and related occupations:","N","N","N","N"
"C24060",157.000,"Computer and mathematical occupations","N","N","N","N"
"C24060",158.000,"Architecture and engineering occupations","N","N","N","N"
"C24060",159.000,"Life, physical, and social science occupations","N","N","N","N"
"C24060",160.000,"Community and social services occupations","N","N","N","N"
"C24060",161.000,"Legal occupations","N","N","N","N"
"C24060",162
