alone or in combination with one or more other races",7,"Female","51.1","+/-0.1","51.5","+/-0.4"
"003","White alone or in combination with one or more other races",8,"Under 5 years","6.9","+/-0.1","6.2","+/-0.3"
"003","White alone or in combination with one or more other races",9,"5 to 17 years","16.8","+/-0.1","14.9","+/-0.4"
"003","White alone or in combination with one or more other races",10,"18 to 24 years","10.5","+/-0.1","9.7","+/-0.3"
"003","White alone or in combination with one or more other races
