0US0646","1"," 34","        42,757","        31,930","        53,584"
"50000US0646","1"," 35","         5,790","         2,592","         8,988"
"50000US0646","1"," 36","         4,030","         1,637","         6,423"
"50000US0646","1"," 37","             N","             N","             N"
"50000US0646","1"," 38","             N","             N","             N"
"50000US0646","1"," 39","             N","             N","             N"
"50000US0646","1"," 40","             N","             N","  
