ientific, and technical services","8,415","+/-1,533","6,882","9,948"
"B24040",196.000,"Management of companies and enterprises","0","+/-303","0","303"
"B24040",197.000,"Administrative and support and waste management services","5,582","+/-1,344","4,238","6,926"
"B24040",198.000,"Educational services, and health care and social assistance:","27,649","+/-2,509","25,140","30,158"
"B24040",199.000,"Educational services","8,157","+/-1,422","6,735","9,579"
"B24040",200.000,"Health care and social assistance:","19
