000,"Under 5 years","283","+/-266","17","549"
"B06001",27.000,"5 to 17 years","487","+/-313","174","800"
"B06001",28.000,"18 to 24 years","1,234","+/-662","572","1,896"
"B06001",29.000,"25 to 34 years","1,598","+/-666","932","2,264"
"B06001",30.000,"35 to 44 years","2,078","+/-750","1,328","2,828"
"B06001",31.000,"45 to 54 years","5,917","+/-1,176","4,741","7,093"
"B06001",32.000,"55 to 59 years","2,100","+/-675","1,425","2,775"
"B06001",33.000,"60 and 61 years","937","+/-397","540","1,334"
"B06001",34.000,
