 15","Percent high school graduate or higher","          83.6","(NA)","          84.2","(NA)","           0.6","+/-2.0","no"
"        2","      16","Percent bachelor's degree or higher","          25.6","(NA)","          27.5","(NA)","           1.9","+/-1.8","yes"
"        2","      17"," "," "," "," "," "," "," "," "
"        2","      17","MARITAL STATUS"," "," "," "," "," "," "," "
"        2","      17","     Males 15 years and over","       500,478","   100%","       493,345","   100%","        -7
