 entertainment, and recreation","42,169","+/-16,460","25,709","58,629"
"B24042",25.000,"Accommodation and food services","35,371","+/-23,614","11,757","58,985"
"B24042",26.000,"Other services, except public administration","57,181","+/-16,937","40,244","74,118"
"B24042",27.000,"Public administration","92,196","+/-56,293","35,903","148,489"
"B24042",28.000,"Female:","48,811","+/-3,712","45,099","52,523"
"B24042",29.000,"Agriculture, forestry, fishing and hunting, and mining:","70,408","+/-33,555","36,853","1
