0,291","+/-1,545","8,746","11,836"
"B25017",7.000,"6 rooms","8,148","+/-1,284","6,864","9,432"
"B25017",8.000,"7 rooms","4,505","+/-792","3,713","5,297"
"B25017",9.000,"8 rooms","2,651","+/-747","1,904","3,398"
"B25017",10.000,"9 or more rooms","1,251","+/-427","824","1,678"
"B25018",.,"MEDIAN NUMBER OF ROOMS",,,,
"B25018",.,"Universe:  Housing units",,,,
"B25018",1.000,"Median number of rooms","5.0","+/-0.2","4.8","5.2"
"B25019",.,"AGGREGATE NUMBER OF ROOMS",,,,
"B25019",.,"Universe:  Housing units",,,,
"B
