es","3,515","+/-1,249","2,266","4,764"
"B16008",41.000,"Speak other languages","1,608","+/-1,010","598","2,618"
"B16009",.,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER",,,,
"B16009",.,"Universe:  Population 5 years and over for whom poverty status is determined",,,,
"B16009",1.000,"Total:","722,157","+/-15,528","706,629","737,685"
"B16009",2.000,"Income in the past 12 months below poverty level:","70,948","+/-6,436","64,512","77,384"
"B16009",3.
