han $10,000","18,802","+/-2,088","16,714","20,890"
"B19201",3.000,"$10,000 to $14,999","14,220","+/-1,751","12,469","15,971"
"B19201",4.000,"$15,000 to $19,999","9,633","+/-1,321","8,312","10,954"
"B19201",5.000,"$20,000 to $24,999","8,636","+/-1,299","7,337","9,935"
"B19201",6.000,"$25,000 to $29,999","5,257","+/-1,215","4,042","6,472"
"B19201",7.000,"$30,000 to $34,999","4,704","+/-949","3,755","5,653"
"B19201",8.000,"$35,000 to $39,999","3,391","+/-1,009","2,382","4,400"
"B19201",9.000,"$40,000 to $44,99
