","Central America:",111,"With any disability","16.7","+/-0.6","13.3","+/-2.1"
"716","Central America:",112,"Civilian population 5 to 15 years","135,331","+/-1,763","6,487","+/-1,953"
"716","Central America:",113,"With any disability","7.1","+/-1.2","3.4","+/-3.7"
"716","Central America:",114,"Civilian population 16 to 64 years","609,637","+/-2,157","66,255","+/-5,329"
"716","Central America:",115,"With any disability","13.7","+/-0.8","9.6","+/-2.0"
"716","Central America:",116,"No disability","86.3","+/-0.
