0,"Walked:","9,849","+/-2,205","7,644","12,054"
"B08126",62.000,"Agriculture, forestry, fishing and hunting, and mining","336","+/-394","0","730"
"B08126",63.000,"Construction","262","+/-262","0","524"
"B08126",64.000,"Manufacturing","190","+/-233","0","423"
"B08126",65.000,"Wholesale trade","55","+/-93","0","148"
"B08126",66.000,"Retail trade","1,799","+/-921","878","2,720"
"B08126",67.000,"Transportation and warehousing, and utilities","142","+/-237","0","379"
"B08126",68.000,"Information","210","+/-193",
